INFO:root:T= 1649938224.374138 | asked for command Pump L2 OFF
INFO:root:T= 1649938224.384138 | asked for command Pump L4 OFF
INFO:root:T= 1649938224.384138 | asked for command Pump L3 OFF
INFO:root:T= 1649938224.384138 | finished for command Pump L2 OFF
INFO:root:T= 1649938224.404137 | asked for command Pump L5 OFF
INFO:root:T= 1649938224.404137 | finished for command Pump L4 OFF
INFO:root:T= 1649938224.404137 | finished for command Pump L3 OFF
INFO:root:T= 1649938224.414138 | finished for command Pump L5 OFF
INFO:root:T= 1649938224.424138 | asked for command Pump L7 OFF
INFO:root:T= 1649938224.424138 | asked for command Pump L6 OFF
INFO:root:T= 1649938224.434138 | asked for command Pump L8 OFF
INFO:root:T= 1649938224.434138 | finished for command Pump L6 OFF
INFO:root:T= 1649938224.434138 | finished for command Pump L7 OFF
INFO:root:T= 1649938224.444138 | finished for command Pump L8 OFF
INFO:root:T= 1649938224.444138 | sending request blink/3 to the ot2
INFO:root:T= 1649938225.904140 | Finished request blink/3 to the ot2
INFO:root:T= 1649938234.044151 | asked for LEDs duty history all_reactors from time 0.000000
INFO:root:T= 1649938235.0641525| Starting to check events
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 1
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 2
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 3
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 4
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 5
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 6
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 7
INFO:root:T= 1649938235.0641525| Starting to check events of reactor id 8
INFO:root:T= 1649938294.664236 | sending request blink/1 to the ot2
INFO:root:T= 1649938295.154237 | Finished request blink/1 to the ot2
INFO:root:T= 1649938295.154237 | asked for command Valve B1 ON
WARNING:root:reading Valve B1 state not successful, trying again
INFO:root:T= 1649938301.194245 | finished for command Valve B1 ON
INFO:root:T= 1649938301.194245 | asked for command Valve B2 ON
INFO:root:T= 1649938301.204245 | finished for command Valve B2 ON
INFO:root:T= 1649938301.204245 | asked for command Valve B3 ON
INFO:root:T= 1649938301.214245 | finished for command Valve B3 ON
INFO:root:T= 1649938301.214245 | asked for turbidity readings for turbi sets {1, 2}
INFO:root:T= 1649938302.344247 | received turbidity readings for turbi set 1: R1= 180.0 R2= 196.0 R3= 158.0 R4= 209.0
INFO:root:T= 1649938303.444248 | received turbidity readings for turbi set 2: R5= 183.0 R6= 180.0 R7= 205.0 R8= 157.0
INFO:root:T= 1649938305.624251 | asked for setting LEDs duty cycle for reactor 1 to intensity 20 with period 1800.000000 seconds, fraction 0.000000 and cycle number 2000.000000
INFO:root:T= 1649938306.784253 | command for setting LEDs duty cycle for reactor 1 to intensity 20 with period 1800.000000 seconds, fraction 0.000000 and cycle number 2000.000000 sent
INFO:root:T= 1649938306.794253 | asked for setting LEDs duty cycle for reactor 2 to intensity 20 with period 1800.000000 seconds, fraction 0.143000 and cycle number 2000.000000
INFO:root:T= 1649938307.964255 | command for setting LEDs duty cycle for reactor 2 to intensity 20 with period 1800.000000 seconds, fraction 0.143000 and cycle number 2000.000000 sent
INFO:root:T= 1649938307.974255 | asked for setting LEDs duty cycle for reactor 3 to intensity 20 with period 1800.000000 seconds, fraction 0.350000 and cycle number 2000.000000
INFO:root:T= 1649938308.534255 | received turbidity readings for turbi set 1: R1= 179.0 R2= 192.0 R3= 150.0 R4= 212.0
